x1,x2,xavg,estim,subj
-10,0,-5,-5.2122,1
-10,-10,-10,-8.21768,1
20,10,15,-17.93416,1
-20,10,-5,-13.42634,1
20,-10,5,9.88556,1
-20,0,-10,-14.1707,1
-20,-20,-20,-8.83053,1
0,10,5,15.12759,1
-20,10,-5,-11.17976,1
-10,-20,-15,-12.24974,1
-10,20,5,26.8657,1
-10,-10,-10,-15.6089,1
0,-10,-5,-8.81815,1
-20,10,-5,-14.9749,1
0,-20,-10,-5.37545,1
20,0,10,10.4489,1
10,-10,0,-6.6285,1
20,10,15,12.6283,1
-20,-20,-20,-11.83823,1
-20,0,-10,-13.2777,1
0,0,0,10.3255,1
20,0,10,-8.90154,1
-10,-20,-15,-10.569705,1
20,10,15,14.59066,1
-20,-20,-20,-10.20112,1
20,-10,5,10.0326,1
0,-20,-10,-5.93714,1
0,20,10,22.03656,1
-20,10,-5,-9.20593,1
20,20,20,11.5729,1
-10,-20,-15,8.2234,1
10,0,5,20.9892,1
10,10,10,15.7905,1
-10,10,0,14.1725,1
20,20,20,10.3019,1
0,-20,-10,14.1401,1
10,-20,-5,10.5526,1
10,20,15,12.2616,1
10,0,5,12.0259,1
10,0,5,-17.19417,1
10,20,15,19.574,1
10,20,15,18.053,1
10,10,10,20.03677,1
-10,-10,-10,-17.58164,1
20,-10,5,7.30993,1
-10,10,0,16.43987,1
0,10,5,12.51823,1
0,10,5,-11.47118,1
-10,10,0,-10.34791,1
-10,-20,-15,-8.55019999999999,1
0,10,5,-10.03825,1
0,20,10,-11.047105,1
0,-20,-10,-9.65675,1
20,0,10,10.46786,1
20,10,15,15.36854,1
10,-10,0,-18.17409,1
-10,0,-5,-19.20605,1
-10,-10,-10,13.1057,1
20,10,15,13.30638,1
-20,-10,-15,17.25412,1
10,-20,-5,-7.92464,1
20,20,20,-8.3112,1
0,-10,-5,-15.2073,1
0,20,10,-19.3899,1
-10,0,-5,23.28693,1
-10,20,5,-12.103,1
-20,-10,-15,10.65872,1
-20,-10,-15,-11.40771,1
10,20,15,-11.9149,1
0,0,0,11.83526,1
20,-10,5,-11.80969,1
-20,-20,-20,-8.2794,1
10,0,5,-5.36821,1
-10,20,5,15.5953,1
20,20,20,13.9549,1
10,20,15,13.0445,1
-20,10,-5,-15.3345,1
-20,0,-10,12.53507,1
10,10,10,-7.30076,1
-10,0,-5,6.69817,1
10,0,5,-6.31973,1
10,-20,-5,11.19035,1
-10,0,-5,-17.7867,1
-10,20,5,13.75407,1
0,-10,-5,0.0594099999999997,1
0,-10,-5,4.93276,1
10,-20,-5,8.05700000000002,1
0,0,0,9.35300000000001,1
20,0,10,-8.86991,1
-10,10,0,14.4936,1
20,20,20,18.47589,1
-10,-20,-15,-9.927544,1
10,-10,0,10.58463,1
10,-10,0,10.2443,1
0,0,0,-7.17179999999999,1
-10,10,0,11.32359,1
20,-10,5,-14.79297,1
-20,-10,-15,-17.0466,1
-10,20,5,-13.420595,1
10,10,10,-15.902,1
20,0,10,-6.57263,1
0,-20,-10,9.63229999999999,1
0,20,10,-13.8151,1
-10,-10,-10,-7.35337,1
10,10,10,12.76773,1
-20,0,-10,-11.75615,1
0,20,10,13.76144,1
0,0,0,-9.763857,1
10,-20,-5,12.21785,1
10,-10,0,-9.31303,1
-20,0,-10,19.4892,1
-20,-10,-15,19.16787,1
0,10,5,11.4171,1
0,-10,-5,16.00192,1
-20,-20,-20,-9.72659999999999,1
-10,0,-5,-10.5318,1
-10,-10,-10,-8.16852,1
20,10,15,-13.20246,1
-20,10,-5,-16.86009,1
20,-10,5,12.90842,1
-20,0,-10,-12.8481,1
-20,-20,-20,-7.63511,1
0,10,5,11,1
-20,10,-5,11.4595,1
-10,-20,-15,7.37563,1
-10,20,5,10.62306,1
-10,-10,-10,-15.4483,1
0,-10,-5,10.33006,1
-20,10,-5,-10.0146,1
0,-20,-10,-7.82089000000001,1
20,0,10,14.15567,1
10,-10,0,10.36246,1
20,10,15,17.69267,1
-20,-20,-20,9.06007,1
-20,0,-10,-15.6901,1
0,0,0,-13.6864,1
20,0,10,-11.48377,1
-10,-20,-15,-10.490729,1
20,10,15,10.16632,1
-20,-20,-20,-10.66283,1
20,-10,5,-7.52119999999999,1
0,-20,-10,-8.13054,1
0,20,10,10.01635,1
-20,10,-5,-15.50636,1
20,20,20,-11.92074,1
-10,-20,-15,-7.52430000000001,1
10,0,5,12.65851,1
10,10,10,18.1994,1
-10,10,0,11.457,1
20,20,20,12.1646,1
0,-20,-10,-15.2539,1
10,-20,-5,5.74160000000001,1
10,20,15,11.1496,1
10,0,5,-10.5873,1
10,20,15,10.003,1
10,20,15,-10.68635,1
10,10,10,20.00774,1
-10,-10,-10,-11.81355,1
20,-10,5,-4.395137,1
-10,10,0,9.99584,1
0,10,5,-8.236358,1
-10,10,0,14.36689,1
-10,-20,-15,8.0926,1
0,10,5,7.3561,1
0,20,10,7.16569,1
0,-20,-10,-15.04346,1
20,0,10,-8.58029,1
20,10,15,9.89082000000001,1
10,-10,0,-11.78971,1
-10,0,-5,-7.47920000000001,1
-10,-10,-10,-6.38140000000001,1
20,10,15,-6.64723,1
-20,-10,-15,-8.06789999999999,1
10,-20,-5,-6.01672000000001,1
20,20,20,4.92901999999999,1
0,-10,-5,-8.30134,1
0,20,10,-11.5125,1
-10,0,-5,-5.33012,1
-10,20,5,-8.9169,1
-20,-10,-15,-8.76479,1
-20,-10,-15,-7.530683,1
10,20,15,-9.28270000000001,1
0,0,0,-6.172247,1
20,-10,5,-7.80813999999999,1
-20,-20,-20,-13.5391,1
-10,20,5,-13.756,1
20,20,20,-9.1354,1
10,20,15,-13.0394,1
-20,10,-5,-13.7905,1
-20,0,-10,9.39105,1
10,10,10,11.98068,1
-10,0,-5,7.10223,1
10,0,5,13.82877,1
10,-20,-5,5.23011,1
-10,0,-5,-9.15606,1
-10,20,5,13.40021,1
0,-10,-5,7.92753999999999,1
0,-10,-5,11.17946,1
10,-20,-5,7.55830000000003,1
0,0,0,-10.7145,1
20,0,10,-8.74356,1
-10,10,0,-9.33022,1
20,20,20,13.3953,1
-10,-20,-15,-9.196867,1
10,-10,0,-11.61478,1
10,-10,0,-13.72605,1
0,0,0,-10.1772,1
20,-10,5,-10.82017,1
-20,-10,-15,-9.54249999999999,1
-10,20,5,10.3715,1
10,10,10,-11.71,1
20,0,10,-5.8597,1
0,-20,-10,-11.131,1
0,20,10,11.2488,1
-10,-10,-10,9.02794,1
10,10,10,16.20708,1
-20,0,-10,-14.74555,1
0,20,10,13.6604,1
0,0,0,-7.7902365,1
10,-20,-5,6.72465,1
10,-10,0,5.84858,1
-20,0,-10,10.18037,1
-20,-10,-15,-8.45403,1
0,10,5,11.6989,1
0,-10,-5,12.30132,1
-20,-20,-20,-9.3426,1
-10,0,-5,7.4398,1
-20,-20,-20,-10.5124,1
-20,-10,-15,-11.4174,1
10,0,5,-6.51913999999999,1
20,20,20,9.38529,1
-20,-20,-20,6.52388,1
-10,20,5,6.73087,1
10,20,15,-13.6106,1
-10,20,5,11.91743,1
-10,10,0,14.41381,1
10,-20,-5,-10.55868,1
0,0,0,13.69198,1
10,-20,-5,-15.1413,1
0,0,0,-4.82854,1
-10,10,0,-12.16885,1
0,10,5,-15.4926,1
10,-10,0,-22.16958,1
10,20,15,4.73769999999999,1
-20,-20,-20,-15.52268,1
0,-10,-5,12.49563,1
10,10,10,-16.2532,1
0,-10,-5,-11.1075,1
-10,20,5,12.37854,1
20,10,15,8.12615,1
-10,0,-5,-6.57582,1
20,20,20,3.14272,1
20,-10,5,11.83133,1
0,0,0,-6.80902,1
-20,-10,-15,-5.26060000000001,1
10,0,5,8.25512,1
10,-10,0,-4.74469999999999,1
20,-10,5,-3.44976,1
10,10,10,-6.4588,1
10,0,5,-6.0642,1
-10,0,-5,-8.4695,1
20,10,15,2.82949,1
-10,-10,-10,5.3809,1
-20,-20,-20,-11.7285,1
0,20,10,-4.52388,1
0,10,5,-14.4102,1
-10,-20,-15,-5.77566,1
-20,0,-10,12.69006,1
-20,-10,-15,-12.9812,1
-10,20,5,14.83769,1
10,0,5,6.87497999999999,1
-20,0,-10,-17.1761,1
10,-20,-5,-9.89855,1
-20,0,-10,-8.57310000000001,1
10,-10,0,-8.7826,1
0,20,10,-8.72320000000001,1
-20,10,-5,-10.71,1
0,0,0,-9.60128,1
20,10,15,6.28682,1
10,10,10,-14.0406,1
0,10,5,-10.801,1
-10,-10,-10,-16.0558,1
-20,10,-5,-12.4486,1
-10,0,-5,0.788620000000002,1
10,10,10,-16.46792,1
20,-10,5,-7.03620000000001,1
0,10,5,-11.04811,1
20,20,20,-10.3194,1
10,20,15,4.774,1
20,0,10,-9.83333,1
-20,0,-10,-11.6375,1
-10,-20,-15,-14.20379,1
-20,-20,-20,-11.46909,1
20,0,10,-11.22853,1
-10,10,0,-20.2724,1
0,-10,-5,6.72176,1
0,20,10,5.33280000000001,1
-10,10,0,7.02763,1
-10,10,0,4.86362,1
0,20,10,-7.42878,1
-20,10,-5,5.1118,1
-10,20,5,-8.7149,1
20,0,10,5.95078,1
0,-20,-10,-5.67722,1
-10,-10,-10,4.63557,1
10,-10,0,14.85937,1
-10,-10,-10,-8.26779999999999,1
-10,-20,-15,-14.46344,1
20,-10,5,-9.65940000000001,1
-20,0,-10,4.68237,1
10,-20,-5,-16.8594,1
10,10,10,7.41820000000001,1
10,-10,0,-4.23546,1
0,-10,-5,6.34653,1
20,10,15,6.59440000000001,1
-20,-10,-15,-6.83840000000001,1
10,20,15,9.49345,1
10,-20,-5,-4.35939,1
0,10,5,7.75192,1
0,-20,-10,-10.98669,1
-20,10,-5,-8.03619999999999,1
20,10,15,4.30993,1
0,-10,-5,-6.64418999999999,1
-20,-10,-15,-16.2541,1
20,0,10,-12.2597,1
0,20,10,-10.65694,1
0,-20,-10,-6.08099999999999,1
0,-20,-10,-6.96380000000001,1
20,20,20,3.96376,1
20,0,10,5.64429999999999,1
-10,-10,-10,-7.17918,1
