x1,binchoice,x2,xavg,estim,subj
45.375,-1,41.625,43.5,44,1
47.5,1,38.625,43.0625,41,1
47.75,1,57.5,52.625,54,1
46.625,-1,38.375,42.5,40,1
47.25,-1,41.375,44.3125,45,1
52.25,1,39.25,45.75,46,1
54.75,1,47.25,51,55,1
53.25,1,58.75,56,60,1
44.25,-1,48.25,46.25,54,1
53.375,1,42,47.6875,57,1
54.625,1,58,56.3125,65,1
51.125,1,54.625,52.875,54,1
47.25,-1,54,50.625,48,1
51.25,1,58.875,55.0625,60,1
45.5,1,59.25,52.375,51,1
51.75,-1,45.5,48.625,51,1
53.75,1,53.125,53.4375,53,1
46.375,1,46.875,46.625,54,1
55.25,1,55.625,55.4375,61,1
47.5,1,51.375,49.4375,55,1
51.125,-1,57.625,54.375,63,1
53.625,1,46.625,50.125,59,1
55.375,1,47.125,51.25,56,1
47.25,1,44.75,46,60,1
52.875,1,62.5,57.6875,64,1
45.5,1,40.5,43,50,1
44.375,-1,37.625,41,61,1
54.125,1,53.5,53.8125,54,1
46.875,1,61.5,54.1875,58,1
48.625,1,38.125,43.375,52,1
48,1,52.25,50.125,53,1
54.375,1,54.375,54.375,54,1
47.625,1,59.375,53.5,51,1
51.75,1,55,53.375,58,1
44.625,-1,46.125,45.375,56,1
46,1,60.625,53.3125,54,1
54.25,1,53.75,54,49,1
54.625,1,50.875,52.75,60,1
50.75,-1,48.25,49.5,55,1
47.25,-1,59.125,53.1875,55,1
45.25,-1,46.875,46.0625,46,1
45.5,-1,57.125,51.3125,62,1
51.25,1,58.125,54.6875,58,1
45.75,1,50.375,48.0625,52,1
54,1,39.5,46.75,47,1
54.125,1,51.25,52.6875,53,1
46.125,1,59.75,52.9375,52,1
52.125,1,55.25,53.6875,57,1
48.125,1,57.125,52.625,61,1
55,1,41.25,48.125,47,1
48.375,-1,45,46.6875,41,1
44.375,1,50.125,47.25,53,1
48.25,1,44.625,46.4375,52,1
47.25,-1,59.875,53.5625,53,1
47.25,1,46.375,46.8125,53,1
46.625,-1,45.25,45.9375,57,1
47.875,-1,47.625,47.75,50,1
46.625,1,44.125,45.375,56,1
53.875,1,50.625,52.25,55,1
54,1,60.75,57.375,58,1
45.5,1,58.25,51.875,58,1
53.875,1,59.625,56.75,52,1
51.75,1,48.25,50,54,1
48.25,1,60.5,54.375,59,1
