subject,load,delay,target,probe,near,response
1,3,0.1,24,18,10,-1
1,3,0.1,307,311,296,-1
1,3,0.1,151,147,289,1
1,4,0.1,326,334,32,-1
1,3,0.1,73,77,60,-1
1,3,0.1,85,79,70,1
1,4,0.1,213,219,226,-1
1,4,0.1,250,258,301,-1
1,4,0.1,102,108,114,1
1,3,0.1,232,238,133,-1
1,4,0.1,332,324,316,1
1,3,0.1,229,237,246,-1
1,3,0.1,21,13,266,-1
1,4,0.1,303,297,93,-1
1,4,0.1,336,328,318,-1
1,4,0.1,96,92,112,1
1,4,0.1,161,157,175,1
1,4,0.1,171,165,87,1
1,3,0.1,296,292,51,-1
1,4,0.1,213,217,94,1
1,3,0.1,50,42,252,1
1,4,0.1,8,12,269,-1
1,3,0.1,191,197,97,-1
1,3,0.1,240,248,259,-1
1,4,0.1,353,347,250,1
1,3,0.1,106,98,330,1
1,3,0.1,4,0,351,1
1,4,0.1,55,63,155,-1
1,3,0.1,315,321,296,-1
1,4,0.1,182,186,196,-1
1,4,0.1,348,352,287,1
1,4,0.1,236,230,252,-1
1,4,0.1,34,42,22,-1
1,3,0.1,54,60,169,-1
1,4,0.1,223,231,151,-1
1,3,0.1,142,138,354,1
1,3,0.1,199,191,31,1
1,4,0.1,47,55,37,-1
1,4,0.1,92,96,255,-1
1,4,0.1,349,343,337,1
1,4,0.1,140,134,152,1
1,3,0.1,101,107,195,1
1,3,0.1,197,189,216,-1
1,4,0.1,163,167,177,1
1,3,0.1,78,84,67,-1
1,4,0.1,41,35,277,1
1,3,0.1,224,216,236,-1
1,3,0.1,177,173,21,1
1,3,0.1,35,31,22,1
1,3,0.1,208,204,218,1
1,4,0.1,214,206,356,1
1,4,0.1,27,31,16,-1
1,3,0.1,340,348,327,-1
1,4,0.1,185,191,350,-1
1,3,0.1,174,182,190,1
1,4,0.1,165,157,183,1
1,3,0.1,126,122,144,1
1,4,0.1,318,310,109,-1
1,3,0.1,226,230,49,1
1,4,0.1,244,236,263,1
1,3,0.1,285,293,158,-1
1,4,0.1,351,347,143,1
1,3,0.1,146,152,161,1
1,3,0.1,146,154,237,1
1,4,0.1,341,337,263,-1
1,3,0.1,135,141,150,1
1,3,0.1,316,310,66,-1
1,3,0.1,76,70,5,1
1,4,0.1,336,340,322,-1
1,4,0.1,296,302,114,-1
1,4,0.1,306,300,287,-1
1,4,0.1,15,9,4,-1
1,3,0.1,285,289,175,-1
1,3,0.1,44,52,27,1
1,4,0.1,193,199,205,1
1,4,0.1,172,180,183,-1
1,4,0.1,220,216,319,-1
1,4,0.1,276,268,153,-1
1,3,0.1,204,208,216,-1
1,3,0.1,348,352,167,-1
1,3,0.1,68,62,227,1
1,4,0.1,294,290,283,-1
1,4,0.1,171,167,298,1
1,3,0.1,30,22,16,-1
1,3,0.1,143,151,352,1
1,3,0.1,327,321,99,-1
1,4,0.1,6,12,350,-1
1,3,0.1,7,15,291,-1
1,4,0.1,287,293,273,-1
1,3,0.1,296,288,284,-1
1,3,0.1,220,224,22,-1
1,4,0.1,60,66,168,1
1,4,0.1,39,45,146,1
1,3,0.1,234,228,252,-1
1,4,0.1,345,341,332,-1
1,3,0.1,183,187,197,1
1,4,0.1,85,77,306,1
1,4,0.1,123,131,134,-1
1,3,0.1,198,192,216,-1
2,3,0.1,131,139,145,-1
2,4,0.1,155,151,167,-1
2,4,0.1,51,55,221,-1
2,3,0.1,58,64,139,1
2,3,0.1,334,328,316,1
2,3,0.1,331,325,319,1
2,3,0.1,213,221,232,-1
2,4,0.1,311,319,81,-1
2,4,0.1,199,205,216,1
2,3,0.1,294,286,86,1
2,4,0.1,211,205,339,1
2,4,0.1,184,190,203,-1
2,3,0.1,30,36,166,-1
2,3,0.1,69,73,56,-1
2,3,0.1,358,354,173,1
2,4,0.1,330,324,89,1
2,4,0.1,19,27,95,-1
2,3,0.1,101,97,311,1
2,3,0.1,121,113,203,1
2,3,0.1,290,294,275,1
2,4,0.1,328,320,311,1
2,4,0.1,314,306,303,1
2,4,0.1,70,74,227,-1
2,4,0.1,212,208,229,1
2,3,0.1,81,87,62,-1
2,3,0.1,157,149,168,1
2,3,0.1,327,333,244,-1
2,3,0.1,350,346,339,-1
2,4,0.1,215,209,157,1
2,4,0.1,129,133,62,-1
2,3,0.1,119,125,131,1
2,4,0.1,238,242,249,1
2,4,0.1,254,258,265,-1
2,3,0.1,210,202,349,1
2,3,0.1,76,82,224,-1
2,3,0.1,168,160,184,1
2,4,0.1,333,327,321,-1
2,4,0.1,177,171,190,1
2,4,0.1,281,289,270,-1
2,3,0.1,262,254,130,1
2,3,0.1,171,167,1,1
2,3,0.1,327,333,316,-1
2,4,0.1,244,238,262,1
2,4,0.1,123,127,23,-1
2,3,0.1,83,75,67,-1
2,4,0.1,24,32,134,-1
2,3,0.1,16,12,2,-1
2,4,0.1,284,278,158,1
2,4,0.1,17,25,357,-1
2,4,0.1,242,250,314,-1
2,3,0.1,119,115,300,1
2,3,0.1,156,152,175,1
2,3,0.1,92,100,321,-1
2,4,0.1,116,108,350,-1
2,4,0.1,254,246,265,1
2,3,0.1,77,71,177,1
2,3,0.1,337,341,106,-1
2,3,0.1,331,325,167,1
2,4,0.1,211,217,122,1
2,3,0.1,246,252,264,1
2,4,0.1,263,259,117,1
2,3,0.1,67,75,232,-1
2,4,0.1,50,54,35,-1
2,3,0.1,206,214,222,1
2,4,0.1,85,79,71,1
2,3,0.1,305,313,294,-1
2,3,0.1,307,315,290,-1
2,4,0.1,206,212,113,1
2,3,0.1,192,198,212,1
2,3,0.1,344,348,84,-1
2,3,0.1,128,124,146,1
2,4,0.1,344,338,326,1
2,4,0.1,343,347,331,-1
2,4,0.1,121,113,139,1
2,4,0.1,285,277,170,1
2,4,0.1,160,156,29,1
2,4,0.1,316,312,149,1
2,3,0.1,152,156,170,-1
2,4,0.1,78,74,66,1
2,3,0.1,81,73,64,-1
2,3,0.1,311,319,23,1
2,4,0.1,321,327,106,-1
2,3,0.1,92,96,202,-1
2,3,0.1,116,110,131,-1
2,4,0.1,321,313,125,1
2,3,0.1,202,196,109,-1
2,4,0.1,31,37,18,-1
2,3,0.1,320,324,101,-1
2,4,0.1,135,127,24,1
2,4,0.1,316,322,299,-1
2,3,0.1,117,121,127,1
2,4,0.1,17,23,324,-1
2,4,0.1,49,45,31,-1
2,4,0.1,119,127,134,-1
2,4,0.1,226,234,243,-1
2,3,0.1,192,186,211,1
2,3,0.1,268,276,4,-1
2,3,0.1,239,233,166,-1
2,3,0.1,22,16,10,-1
2,3,0.1,16,8,1,-1
2,4,0.1,245,241,34,-1
3,3,0.1,289,295,99,-1
3,3,0.1,144,152,156,-1
3,4,0.1,305,297,286,1
3,4,0.1,338,342,190,1
3,3,0.1,56,60,43,1
3,3,0.1,15,7,128,1
3,3,0.1,180,186,0,-1
3,3,0.1,49,43,32,1
3,3,0.1,133,141,153,-1
3,3,0.1,287,281,271,1
3,4,0.1,39,31,24,-1
3,4,0.1,158,162,283,1
3,4,0.1,164,170,177,1
3,3,0.1,332,336,313,1
3,4,0.1,119,125,135,-1
3,4,0.1,352,346,111,1
3,4,0.1,211,207,228,-1
3,4,0.1,252,246,191,1
3,3,0.1,25,17,231,1
3,4,0.1,328,336,115,1
3,4,0.1,128,124,143,1
3,4,0.1,319,327,64,1
3,3,0.1,65,61,324,1
3,3,0.1,162,158,256,1
3,4,0.1,133,137,149,-1
3,3,0.1,57,49,235,1
3,3,0.1,100,92,115,1
3,4,0.1,317,311,41,1
3,3,0.1,330,326,220,1
3,4,0.1,292,300,279,1
3,3,0.1,215,207,82,1
3,4,0.1,196,204,348,-1
3,3,0.1,12,8,353,1
3,4,0.1,241,245,254,-1
3,4,0.1,196,190,209,1
3,3,0.1,216,212,292,1
3,3,0.1,323,329,312,1
3,4,0.1,101,109,40,-1
3,4,0.1,336,340,248,1
3,4,0.1,11,19,355,-1
3,3,0.1,72,68,56,-1
3,3,0.1,216,208,234,1
3,4,0.1,110,114,9,-1
3,3,0.1,313,319,69,-1
3,3,0.1,8,14,168,-1
3,3,0.1,80,86,62,-1
3,4,0.1,121,115,69,1
3,4,0.1,169,163,184,1
3,4,0.1,56,48,231,1
3,3,0.1,97,93,111,1
3,3,0.1,271,265,14,1
3,4,0.1,195,187,208,-1
3,3,0.1,244,248,108,1
3,3,0.1,264,272,123,-1
3,4,0.1,41,45,25,-1
3,4,0.1,312,306,293,1
3,4,0.1,84,80,5,1
3,4,0.1,210,206,62,1
3,4,0.1,200,192,219,1
3,4,0.1,21,25,1,1
3,3,0.1,236,232,255,1
3,3,0.1,342,350,327,-1
3,3,0.1,307,315,288,-1
3,3,0.1,225,231,242,-1
3,4,0.1,331,325,312,1
3,3,0.1,130,134,261,-1
3,4,0.1,352,358,60,-1
3,3,0.1,25,19,160,-1
3,4,0.1,253,245,187,1
3,4,0.1,206,212,309,-1
3,3,0.1,230,236,243,1
3,3,0.1,41,49,119,-1
3,4,0.1,37,43,26,-1
3,4,0.1,326,322,315,1
3,3,0.1,322,314,311,1
3,3,0.1,131,139,214,-1
3,4,0.1,322,328,311,1
3,3,0.1,149,143,168,1
3,4,0.1,97,105,111,-1
3,4,0.1,319,325,167,-1
3,3,0.1,1,9,239,-1
3,4,0.1,68,64,120,1
3,3,0.1,128,132,138,-1
3,3,0.1,187,191,85,-1
3,4,0.1,272,264,70,1
3,4,0.1,82,78,63,-1
3,3,0.1,1,5,135,-1
3,4,0.1,232,238,31,-1
3,3,0.1,146,150,156,1
3,4,0.1,148,156,161,1
3,4,0.1,27,19,202,1
3,3,0.1,352,346,66,1
3,3,0.1,10,2,356,-1
3,3,0.1,65,59,194,-1
3,3,0.1,242,236,258,1
3,4,0.1,113,109,20,1
4,4,0.1,125,121,136,1
4,4,0.1,188,182,101,1
4,4,0.1,10,2,350,1
4,3,0.1,76,80,63,-1
4,3,0.1,138,146,157,1
4,4,0.1,124,130,137,1
4,3,0.1,83,77,67,1
4,4,0.1,267,275,129,-1
4,3,0.1,128,120,346,1
4,4,0.1,67,59,50,1
4,4,0.1,248,254,268,1
4,4,0.1,236,232,248,1
4,3,0.1,160,168,173,-1
4,4,0.1,292,286,217,-1
4,3,0.1,196,192,9,1
4,3,0.1,114,120,233,1
4,4,0.1,288,292,211,1
4,3,0.1,220,212,42,-1
4,3,0.1,18,24,240,-1
4,3,0.1,96,92,282,1
4,3,0.1,308,302,293,-1
4,3,0.1,65,69,48,-1
4,4,0.1,111,119,231,1
4,4,0.1,169,173,255,1
4,4,0.1,247,241,263,-1
4,4,0.1,193,201,287,-1
4,4,0.1,189,183,97,1
4,3,0.1,109,105,248,1
4,4,0.1,53,61,41,-1
4,4,0.1,182,186,199,-1
4,3,0.1,149,141,307,1
4,4,0.1,337,331,325,-1
4,4,0.1,335,343,321,-1
4,3,0.1,290,286,275,1
4,3,0.1,248,240,262,1
4,4,0.1,37,31,266,-1
4,3,0.1,333,339,321,-1
4,3,0.1,345,351,87,-1
4,3,0.1,316,308,300,-1
4,3,0.1,310,302,57,1
4,4,0.1,16,20,85,-1
4,4,0.1,122,130,248,0
4,3,0.1,329,325,115,-1
4,3,0.1,80,76,66,1
4,4,0.1,247,241,261,1
4,4,0.1,288,292,191,-1
4,3,0.1,246,238,264,1
4,3,0.1,292,298,278,-1
4,4,0.1,231,235,250,-1
4,3,0.1,276,282,6,-1
4,4,0.1,69,73,58,-1
4,3,0.1,127,133,145,1
4,3,0.1,195,201,212,-1
4,3,0.1,101,97,117,1
4,4,0.1,127,119,230,1
4,4,0.1,175,171,104,-1
