Stimulus,Response,Outcome,tResponse
0.4415,1,0,55.617699
0.4415,2,1,60.2869336666667
-0.4415,1,1,63.4471973333333
1,2,1,66.4046336666666
0,1,1,69.4854016666666
0,1,1,72.6661656666667
0.4415,1,0,75.4447743333334
-0.4415,2,0,79.6515346666667
0.7552,2,1,85.1407333333332
-0.4415,2,0,88.8595053333334
0.4415,2,1,93.2505666666665
-0.7552,1,1,96.2633546666666
0,1,0,99.0464703333334
0,2,0,104.607008
-0.4415,2,0,109.049065333333
0.4415,1,0,113.799672333333
0,1,1,117.771399333333
0.7552,2,1,120.698300666667
-1,1,1,123.695435
0.7552,2,1,126.380215666667
0,2,0,131.042418
-0.7552,2,0,136.132321666667
1,2,1,141.169765666667
0,1,1,143.937333666667
0.7552,1,0,146.848431666667
-0.4415,2,0,150.960696
0.4415,2,1,155.935756
0,2,0,159.121700333333
1,1,0,163.381429
-0.7552,1,1,168.538159333333
0.7552,2,1,171.576067666667
0,1,1,174.660203666667
0.7552,2,1,177.595333
-0.4415,1,1,180.554390666667
0.7552,2,1,186.099802
-0.7552,1,1,189.045734666667
1,2,1,192.0867
-1,1,1,195.037099666667
0.7552,2,1,197.738227666667
-1,1,1,200.662834333333
-0.4415,1,1,203.483267
0.7552,2,1,206.425017333333
-0.4415,1,1,209.181967
0.4415,2,1,212.032233
0.4415,1,0,214.807022666667
-0.7552,2,0,219.887770666667
-0.4415,1,1,227.561765333333
0.7552,1,0,230.404033666667
-0.7552,1,1,234.882099666667
-0.7552,2,0,237.841204666667
-1,1,1,243.307766
0.7552,2,1,246.487367333333
0,1,1,249.269633666667
1,2,1,252.478403333333
-0.4415,1,1,256.344132333333
-0.7552,2,0,259.754726333333
0.4415,2,1,264.591302333333
0.7552,2,1,267.209608
0,1,1,270.093874666667
0.4415,2,1,273.023288666667
0.7552,1,0,277.595866
0.7552,1,0,281.439433333333
-0.7552,2,0,285.414498
-0.4415,2,0,290.074448666667
-0.4415,2,0,294.565965666667
0.4415,1,0,298.56843
0,1,1,303.375833
0,1,1,306.027058666667
-1,1,1,308.892715333333
0.4415,1,0,311.734969333333
0.4415,2,1,316.500532666667
-1,1,1,319.239639
0.7552,2,1,322.161564333333
0.4415,2,1,326.371499
-0.7552,1,1,329.496400666667
-1,2,0,332.243367666667
0,2,1,338.525733
-1,1,1,341.149539
0,2,1,345.170099333333
-1,1,1,348.621532
-0.7552,2,0,351.467965333333
0,1,0,355.203033333333
0,2,0,360.595094333333
-1,1,1,364.655366333333
0,2,1,367.445967
-1,1,1,370.221066666667
1,2,1,373.211165
0.4415,1,0,376.023434
0.7552,2,1,381.858633666667
0,2,0,384.536407333333
-0.4415,1,1,388.711047
-0.7552,2,0,391.684765333333
-0.7552,1,1,399.250429666667
0.4415,2,1,402.031566
-0.7552,1,1,404.491856
1,2,1,407.498928666667
-0.4415,1,1,412.208500666667
0.4415,1,0,415.03826
-1,1,1,419.823661
0.7552,2,1,422.635614666667
-0.7552,1,1,425.579908
0.7552,2,1,428.339668
-0.7552,1,1,430.845932333333
0.4415,2,1,433.710867666667
-0.4415,1,1,436.859808
1,2,1,440.258065333333
0.7552,1,0,442.941666666667
0,2,1,448.811028666667
-0.4415,1,1,452.751976666667
0.4415,2,1,455.275900666667
-1,1,1,457.722369333333
-0.4415,2,0,460.425791333333
1,2,1,464.150065666667
0,1,0,466.908000333333
-0.4415,2,0,472.402567
0.4415,1,0,477.225091
-0.7552,1,1,481.48003
0.7552,2,1,484.260299333333
0.4415,1,0,486.978398666667
0.4415,2,1,491.255799333333
0.7552,2,1,495.549730666667
-1,2,0,499.375644
0,2,1,506.307665666667
-0.7552,1,1,511.201866
0,2,1,513.845329333333
0,1,1,516.480932666667
-0.4415,2,0,519.222034333334
1,2,1,523.638467666667
1,2,1,526.229233333333
0,2,0,528.967498
0.4415,1,0,532.686268333334
-0.4415,2,0,536.599832333333
0.4415,2,1,541.431235333333
0,1,1,544.123170333333
0.4415,2,1,546.939800333334
0,1,1,549.310733333333
0.7552,2,1,552.114966666667
-1,1,1,555.215432666667
0.4415,2,1,558.073733333333
-0.4415,1,1,560.686473666667
0.7552,2,1,563.399561666667
-0.4415,2,0,567.480667333333
0.7552,2,1,572.829569666667
0.7552,1,0,575.549358666667
-0.7552,1,1,579.756595
1,2,1,582.561031333333
-0.4415,1,1,584.939299666667
0.4415,2,1,587.727271
-0.7552,1,1,590.503004333333
-0.7552,1,1,593.381464333333
0.7552,2,1,596.782398
-1,1,1,599.764800666667
0,2,1,602.524933
1,1,0,605.129034
-0.4415,1,1,608.931468
-0.4415,2,0,611.785566666667
0,1,0,617.462940666667
0,1,1,626.067450666667
0.4415,1,0,628.769526333333
0.4415,2,1,633.888765333333
-1,1,1,636.294538666667
0.4415,2,1,641.459433
-1,1,1,643.858199
1,2,1,646.384331333333
-0.4415,1,1,649.242932666667
0.7552,2,1,652.122034666667
-0.7552,1,1,655.097133333333
-0.7552,2,0,657.647588
-0.7552,1,1,661.274508666667
0.4415,2,1,663.924768
0.7552,1,0,666.383566333333
0,2,0,671.3328
