center,flanker,choice,RT
right,left,right,0.522
left,left,left,0.573
right,right,right,0.377
left,right,left,0.497
left,right,left,0.96
left,left,left,0.501
right,left,right,0.554
right,right,right,0.594
left,right,left,0.421
right,right,right,0.512
right,left,right,0.965
right,right,right,0.346
right,left,right,0.647
right,right,right,0.393
right,right,right,0.387
left,left,left,0.535
right,right,right,0.634
left,right,right,0.599
left,right,left,0.616
right,left,right,0.598
left,left,left,0.593
right,left,right,0.736
left,left,left,0.527
left,left,left,0.648
left,right,right,0.547
left,left,left,0.343
left,right,left,1.684
left,right,left,1.265
right,right,right,0.713
left,right,left,1.079
right,right,right,0.706
right,right,right,0.779
left,right,left,0.888
right,left,right,0.813
left,right,left,1.347
left,right,right,0.687
left,left,left,0.615
left,left,left,0.865
left,left,left,0.501
right,right,left,0.421
left,right,left,1.256
left,right,left,1.202
left,left,left,0.65
right,left,right,1.679
right,left,right,0.908
left,left,right,0.458
right,right,right,0.543
left,right,left,0.394
right,left,left,0.342
right,right,right,0.459
left,right,left,1.98
right,left,right,0.741
left,right,left,0.467
left,left,left,0.771
left,right,right,1.786
right,right,right,0.439
right,left,right,0.83
right,left,right,0.879
right,right,right,0.72
right,left,left,0.457
right,left,right,0.764
right,left,right,0.911
right,left,right,1.206
right,right,right,0.655
right,left,left,0.329
right,right,right,0.929
left,right,right,0.36
right,right,right,0.752
left,right,right,0.356
left,right,right,0.728
left,right,left,1.177
right,left,right,0.543
left,left,left,0.397
right,right,right,0.56
right,left,right,0.846
right,left,right,1.615
right,left,right,0.731
right,left,right,0.7
left,left,left,0.46
right,right,right,0.837
left,left,left,0.5
left,right,left,0.821
left,left,left,0.585
left,left,left,0.824
left,left,left,0.773
right,right,right,1.116
left,right,left,0.615
right,right,right,0.917
left,right,left,0.701
left,right,left,0.535
right,left,right,0.935
left,left,left,0.72
right,left,right,0.541
left,right,left,0.611
right,left,left,0.631
right,right,right,0.749
left,right,right,0.614
right,right,right,0.679
left,left,left,0.489
right,right,right,0.844
right,left,right,1.076
right,right,right,0.739
right,right,right,0.584
left,left,left,0.391
left,right,left,0.304
right,left,right,0.766
right,left,right,1.139
left,left,left,0.559
left,left,left,0.442
right,left,left,0.311
left,right,left,1.321
right,left,right,0.579
right,left,right,1.268
right,left,right,1.165
left,left,left,0.562
right,left,left,0.815
left,right,left,0.74
left,left,right,0.435
left,left,left,0.525
right,left,right,0.578
right,left,right,1.191
left,right,left,0.917
left,right,right,0.432
right,left,right,0.554
left,right,left,0.844
left,left,right,0.42
right,right,right,0.489
left,right,left,1.228
right,left,right,0.944
right,left,right,1.462
left,right,left,0.51
right,left,right,0.64
right,left,right,0.818
left,right,right,0.644
right,left,right,0.964
right,left,left,0.681
right,left,right,0.51
left,right,left,0.765
left,left,left,0.651
right,left,left,0.329
right,right,right,0.75
right,left,right,0.766
left,right,left,0.476
left,right,left,1.178
left,left,left,0.48
right,right,right,0.313
left,left,left,0.837
left,right,left,1.035
left,right,left,0.731
right,right,right,0.493
left,right,right,0.821
right,left,right,0.666
left,right,left,1.545
right,right,right,0.65
right,right,right,0.728
left,right,left,0.644
left,left,left,0.744
left,left,right,0.592
left,left,left,0.535
left,left,left,0.633
right,left,left,0.439
right,left,right,0.513
right,right,right,0.604
right,left,left,0.526
right,right,right,0.48
left,right,left,1.486
right,left,right,0.825
left,left,left,0.418
left,right,left,0.399
right,left,left,0.431
left,left,left,0.502
right,left,left,0.545
left,right,left,1.181
right,right,right,0.778
right,left,right,0.485
right,left,right,1.103
right,left,right,0.686
right,right,right,0.59
left,right,right,0.46
right,left,right,0.743
right,right,right,0.832
left,left,left,0.601
right,right,right,0.663
right,left,right,1.453
left,left,left,0.479
left,left,left,0.545
right,left,right,0.602
left,left,left,0.666
right,right,right,0.967
left,right,left,1.267
left,right,left,1.39
left,left,left,0.785
left,left,left,0.323
right,left,right,0.665
right,left,right,0.67
right,right,right,0.794
left,left,left,0.753
right,right,right,0.55
right,right,right,0.876
left,left,left,0.74
left,right,left,1.771
right,right,right,0.535
right,left,right,0.797
left,left,left,0.738
right,left,left,0.395
left,left,left,0.467
right,right,right,0.72
right,left,right,1.183
right,right,right,0.597
left,left,left,0.517
left,left,left,0.625
right,right,right,0.504
left,left,right,0.36
left,left,left,0.432
right,left,right,0.417
right,right,right,0.466
left,right,left,1.085
right,left,left,0.35
left,right,right,0.496
left,left,left,0.592
right,right,right,0.488
right,left,right,0.706
left,right,right,0.649
right,left,right,0.64
right,right,right,0.388
right,left,right,1.245
right,left,right,1.834
right,left,left,0.378
right,right,right,0.602
left,right,left,1.54
right,right,right,0.572
right,left,right,0.912
right,left,right,1.442
right,left,left,0.489
left,left,right,0.356
right,left,right,0.751
left,right,left,1.068
left,right,right,0.519
left,left,right,0.882
left,left,left,0.458
left,left,left,0.559
right,left,left,0.846
left,right,right,0.365
left,right,left,0.84
left,left,left,1.132
left,left,left,1.23
left,left,left,0.701
right,right,right,0.518
left,left,left,0.863
right,left,right,0.528
right,left,right,1.208
left,right,left,1.053
left,left,left,0.79
right,left,right,1.004
